banks;amenity=bank
laotian_restaurant;amenity=restaurant,cuisine=laotian
malaysian_restaurant;amenity=restaurant,cuisine=malaysian
nasi_restaurant;
singaporean_restaurant;amenity=restaurant,cuisine=singaporean
thai_restaurant;amenity=restaurant,cuisine=thai
vietnamese_restaurant;amenity=restaurant,cuisine=vietnamese
wok_restaurant;
bar_and_grill_restaurant;amenity=restaurant,bar=yes
breakfast_and_brunch_restaurant;amenity=restaurant,cuisine=breakfast
pancake_house;amenity=restaurant,cuisine=pancakes
waffle_restaurant;amenity=restaurant,cuisine=waffles
buffet_restaurant;amenity=restaurant,cuisine=buffet
cafeteria;
comfort_food_restaurant;amenity=restaurant,cuisine=comfort_food
diy_foods_restaurant;amenity=restaurant,cuisine=self_cook
dumpling_restaurant;amenity=restaurant,cuisine=dumplings
european_restaurant;amenity=restaurant,cuisine=european
austrian_restaurant;amenity=restaurant,cuisine=austrian
czech_restaurant;amenity=restaurant,cuisine=czech
german_restaurant;amenity=restaurant,cuisine=german
hungarian_restaurant;amenity=restaurant,cuisine=hungarian
polish_restaurant;amenity=restaurant,cuisine=polish
schnitzel_restaurant;amenity=restaurant,cuisine=austrian
slovakian_restaurant;amenity=restaurant,cuisine=slovakian
swiss_restaurant;amenity=restaurant,cuisine=swiss
eastern_european_restaurant;amenity=restaurant,cuisine=eastern_european
belarusian_restaurant;amenity=restaurant,cuisine=belarusian
bulgarian_restaurant;amenity=restaurant,cuisine=bulgarian
romanian_restaurant;amenity=restaurant,cuisine=romanian
russian_restaurant;amenity=restaurant,cuisine=russian
tatar_restaurant;amenity=restaurant,cuisine=tatar
ukrainian_restaurant;amenity=restaurant,cuisine=ukrainian
iberian_restaurant;amenity=restaurant,cuisine=iberian
portuguese_restaurant;amenity=restaurant,cuisine=portuguese
spanish_restaurant;amenity=restaurant,cuisine=spanish
basque_restaurant;amenity=restaurant,cuisine=basque
catalan_restaurant;amenity=restaurant,cuisine=catalan
mediterranean_restaurant;amenity=restaurant,cuisine=mediterranean
greek_restaurant;amenity=restaurant,cuisine=greek
italian_restaurant;amenity=restaurant,cuisine=italian
piadina_restaurant;amenity=restaurant,cuisine=piadina
pizza_restaurant;amenity=restaurant,cuisine=pizza
scandinavian_restaurant;amenity=restaurant,cuisine=scandinavian
danish_restaurant;amenity=restaurant,cuisine=danish
norwegian_restaurant;amenity=restaurant,cuisine=norwegian
belgian_restaurant;amenity=restaurant,cuisine=belgian
british_restaurant;amenity=restaurant,cuisine=british
french_restaurant;amenity=restaurant,cuisine=french
brasserie;
irish_restaurant;amenity=restaurant,cuisine=irish
scottish_restaurant;amenity=restaurant,cuisine=scottish
haute_cuisine_restaurant;amenity=restaurant,cuisine=haute_cuisine
asian_fusion_restaurant;amenity=restaurant,cuisine=fusion
pan_asian_restaurant;
latin_american_restaurant;amenity=restaurant,cuisine=latin_american
caribbean_restaurant;amenity=restaurant,cuisine=caribbean
cuban_restaurant;amenity=restaurant,cuisine=cuban
dominican_restaurant;amenity=restaurant,cuisine=dominican
haitian_restaurant;amenity=restaurant,cuisine=haitian
jamaican_restaurant;amenity=restaurant,cuisine=jamaican
puerto_rican_restaurant;amenity=restaurant,cuisine=puerto_rican
trinidadian_restaurant;amenity=restaurant,cuisine=trinidadian
belizean_restaurant;amenity=restaurant,cuisine=belizean
costa_rican_restaurant;amenity=restaurant,cuisine=costa_rican
guatemalan_restaurant;amenity=restaurant,cuisine=guatemalan
honduran_restaurant;amenity=restaurant,cuisine=honduran
nicaraguan_restaurant;amenity=restaurant,cuisine=nicaraguan
panamanian_restaurant;amenity=restaurant,cuisine=panamanian
salvadoran_restaurant;amenity=restaurant,cuisine=salvadoran
mexican_restaurant;amenity=restaurant,cuisine=mexican
argentine_restaurant;amenity=restaurant,cuisine=argentinian
bolivian_restaurant;amenity=restaurant,cuisine=bolivian
brazilian_restaurant;amenity=restaurant,cuisine=brazilian
chilean_restaurant;amenity=restaurant,cuisine=chilean
colombian_restaurant;amenity=restaurant,cuisine=colombian
ecuadorian_restaurant;amenity=restaurant,cuisine=ecuadorian
paraguayan_restaurant;amenity=restaurant,cuisine=paraguayan
peruvian_restaurant;amenity=restaurant,cuisine=peruvian
uruguayan_restaurant;amenity=restaurant,cuisine=uruguayan
venezuelan_restaurant;amenity=restaurant,cuisine=venezuelan
taco_restaurant;
texmex_restaurant;amenity=restaurant,cuisine=tex-mex
meat_restaurant;amenity=restaurant,cuisine=meat
barbecue_restaurant;amenity=restaurant,cuisine=barbecue
burger_restaurant;amenity=restaurant,cuisine=burger
cheesesteak_restaurant;amenity=restaurant,cuisine=cheesesteak
chicken_restaurant;amenity=restaurant,cuisine=chicken
chicken_wings_restaurant;
curry_sausage_restaurant;amenity=restaurant,cuisine=currywurst
hot_dog_restaurant;amenity=restaurant,cuisine=hot_dog
meatball_restaurant;amenity=restaurant,cuisine=meatballs
rotisserie_chicken_restaurant;
steakhouse;amenity=restaurant,cuisine=steak_house
venison_restaurant;
wild_game_meats_restaurant;amenity=restaurant,cuisine=wild_game
middle_eastern_restaurant;amenity=restaurant,cuisine=middle_eastern
arabian_restaurant;amenity=restaurant,cuisine=arab
armenian_restaurant;amenity=restaurant,cuisine=armenian
azerbaijani_restaurant;amenity=restaurant,cuisine=azerbaijani
falafel_restaurant;amenity=restaurant,cuisine=falafel
georgian_restaurant;amenity=restaurant,cuisine=georgian
israeli_restaurant;amenity=restaurant,cuisine=israeli
kofta_restaurant;amenity=restaurant,cuisine=kofta
kurdish_restaurant;amenity=restaurant,cuisine=kurdish
lebanese_restaurant;amenity=restaurant,cuisine=lebanese
syrian_restaurant;amenity=restaurant,cuisine=syrian
turkish_restaurant;amenity=restaurant,cuisine=turkish
american_restaurant;amenity=restaurant,cuisine=american
canadian_restaurant;amenity=restaurant,cuisine=canadian
poutinerie_restaurant;amenity=restaurant,cuisine=poutine
australian_restaurant;amenity=restaurant,cuisine=australian
guamanian_restaurant;amenity=restaurant,cuisine=guamanian
polynesian_restaurant;amenity=restaurant,cuisine=polynesian
hawaiian_restaurant;amenity=restaurant,cuisine=hawaiian
pop_up_restaurant;
salad_bar;amenity=fast_food,cuisine=salad
seafood_restaurant;amenity=restaurant,cuisine=seafood
fish_and_chips_restaurant;amenity=restaurant,cuisine=fish_and_chips
fish_restaurant;amenity=restaurant,cuisine=fish
soul_food;amenity=restaurant,cuisine=soul_food
soup_restaurant;amenity=restaurant,cuisine=soup
acai_bowls;amenity=cafe,cuisine=acai_bowls
gluten_free_restaurant;amenity=restaurant,diet:gluten_free=only
halal_restaurant;amenity=restaurant,diet:halal=only
health_food_restaurant;amenity=restaurant,cuisine=health_food
jewish_restaurant;amenity=restaurant,cuisine=jewish
kosher_restaurant;amenity=restaurant,diet:kosher=only
live_and_raw_food_restaurant;amenity=restaurant,diet:raw=only
molecular_gastronomy_restaurant;amenity=restaurant,cuisine=molecular_gastronomy
vegan_restaurant;amenity=restaurant,diet:vegan=only,diet:vegetarian=yes
vegetarian_restaurant;amenity=restaurant,diet:vegetarian=only,diet:vegan=yes
supper_club;
theme_restaurant;amenity=restaurant,theme=yes
wrap_restaurant;amenity=restaurant,cuisine=wraps
bridge;man_made=bridge
skyscraper;building=skyscraper
dam;waterway=dam
weir;waterway=weir
botanical_garden;leisure=garden,garden:type=botanical
lookout;tourism=viewpoint
marina;leisure=marina
pier;man_made=pier
quay;man_made=quay
beach;natural=beach
beach_combing_area;
canyon;natural=valley
cave;natural=cave_entrance
crater;natural=volcano
desert;natural=desert
forest;natural=wood
geologic_formation;geological=outcrop
island;place=island
mountain;natural=peak
nature_reserve;leisure=nature_reserve
sand_dune;natural=dune
skyline;
stargazing_area;tourism=viewpoint,astronomy=yes
canal;waterway=canal
hot_springs;natural=hot_spring
lake;natural=water,water=lake
river;waterway=river
waterfall;waterway=waterfall
doctors_office;amenity=doctors
emergency_or_urgent_care_facility;amenity=hospital,healthcare:speciality=emergency
hospital;healthcare=doctor,healthcare:speciality=internal_medicine
emergency_department;amenity=hospital,department=emergency
urgent_care_clinic;amenity=clinic,healthcare=speciality=urgent_care
walk_in_clinic;
hospital;amenity=hospital
childrens_hospital;amenity=hospital,healthcare:speciality=paediatrics
outpatient_care_facility;amenity=clinic
blood_and_plasma_donation_center;healthcare=blood_donation
ems_training;amenity=training,training=EMS
health_insurance_office;
home_health_care;office=company,service=home_health_care
hospice;healthcare=hospice
medical_billing;
cannabis_clinic;amenity=clinic,healthcare:speciality=cannabis
cannabis_collective;shop=cannabis
medical_cannabis_referral;amenity=doctors,healthcare:speciality=medical_cannabis
medical_transportation;amenity=ambulance_station
sperm_clinic;amenity=clinic,healthcare:speciality=fertility
behavioral_or_mental_health_clinic;amenity=social_facility,social_facility=counselling
behavior_analysis;
family_counseling;healthcare=counselling,healthcare:counselling=family
marriage_or_relationship_counseling;healthcare=counselling
sex_therapy;healthcare=psychotherapist,healthcare:speciality=sex_therapy
psychiatry;amenity=doctors,healthcare:speciality=psychiatry
child_psychiatry;
geriatric_psychiatry;healthcare=doctor,healthcare:speciality=geriatric_psychiatry
psychoanalysis;healthcare=psychologist,healthcare:speciality=psychoanalysis
psychology;healthcare=psychologist
sports_psychology;healthcare=psychologist,healthcare:speciality=sports_psychology
psychotherapy;healthcare=psychotherapist
sophrology;healthcare=alternative,alternative=sophrology
complementary_and_alternative_medicine;healthcare=alternative
acupuncture;healthcare=alternative,healthcare:speciality=acupuncture
aromatherapy;office=therapist
ayurveda;healthcare=alternative,healthcare:speciality=ayurveda
chiropractic;healthcare=alternative,healthcare:specialty=chiropractic
homeopathy;healthcare=doctor,healthcare:speciality=homeopathy
naturopathic_medicine;healthcare=alternative,alternative=naturopathy
reflexology;healthcare=alternative,alternative=reflexology
reiki;healthcare=alternative,alternative=reiki
traditional_chinese_medicine;healthcare=alternative,healthcare:speciality=traditional_chinese_medicine
tui_na;healthcare=alternative,alternative=tuina
dentist;amenity=dentist
cosmetic_dentistry;amenity=dentist,healthcare:speciality=cosmetic_dentistry
dental_hygiene;amenity=dentist,healthcare:speciality=hygiene
endodontics;healthcare=dentist,healthcare:speciality=endodontics
general_dentistry;
orthodontics;healthcare=dentist,healthcare:speciality=orthodontics
pediatric_dentistry;amenity=dentist,healthcare:speciality=pediatric_dentistry
periodontics;healthcare=dentist,healthcare:speciality=periodontics
prosthodontics;healthcare=dentist,healthcare:speciality=prosthodontics
diagnostic_imaging;amenity=clinic,healthcare=speciality=radiology
ultrasound_imaging;amenity=clinic,healthcare:speciality=diagnostic_imaging
laboratory_testing;amenity=laboratory,laboratory=testing
pathology;healthcare=doctor,healthcare:speciality=pathology
radiology;healthcare=doctor,healthcare:speciality=radiology
pediatric_clinic;healthcare=doctor,healthcare:speciality=pediatrics
pediatric_anesthesiology;healthcare=doctor,healthcare:speciality=pediatric_anesthesiology
pediatric_cardiology;healthcare=doctor,healthcare:speciality=pediatric_cardiology
pediatric_endocrinology;healthcare=doctor,healthcare:speciality=pediatric_endocrinology
pediatric_gastroenterology;healthcare=doctor,healthcare:speciality=pediatric_gastroenterology
pediatric_infectious_disease;healthcare=doctor,healthcare:speciality=pediatric_infectious_disease
pediatric_nephrology;healthcare=doctor,healthcare:speciality=pediatric_nephrology
pediatric_neurology;healthcare=doctor,healthcare:speciality=pediatric_neurology
pediatric_oncology;healthcare=doctor,healthcare:speciality=pediatric_oncology
pediatric_pulmonology;healthcare=doctor,healthcare:speciality=pediatric_pulmonology
pediatric_radiology;healthcare=doctor,healthcare:speciality=pediatric_radiology
animal_assisted_therapy;
occupational_therapy;healthcare=therapy,therapy=occupational
orthotics;shop=medical_supply,medical_supply=orthotics
physical_therapy;healthcare=physiotherapist
prosthetics;shop=medical_supply,medical_supply=prosthetics
psychomotor_therapy;healthcare=therapy,therapy=psychomotor
rehabilitation_center;amenity=hospital,hospital:category=rehabilitation
addiction_rehabilitation_center;healthcare=rehabilitation,healthcare:speciality=drug_addiction
speech_therapy;healthcare=speech_therapist
community_health_center;
concierge_medicine;amenity=doctors,healthcare:speciality=concierge_medicine
family_practice;
mobile_clinic;amenity=clinic,mobile=yes
public_health_clinic;amenity=clinic,operator:type=public
storefront_clinic;
doula_service;office=healthcare,healthcare=speciality=doula
midwifery;healthcare=midwife
obstetrics_and_gynecology;healthcare:speciality=gynaecology
prenatal_and_perinatal_care;healthcare=clinic,healthcare:speciality=prenatal_care
cardiology;amenity=doctors,healthcare:speciality=cardiology
phlebology;healthcare=doctor,healthcare:speciality=phlebology
vascular_medicine;healthcare=doctor,healthcare:speciality=vascular_medicine
ear_nose_and_throat;healthcare=doctor,healthcare:speciality=ENT
audiology;healthcare=audiologist
neurotology;healthcare=doctor,healthcare:speciality=neurotology
otology;healthcare=doctor,healthcare:speciality=otology
endocrinology;healthcare=doctor,healthcare:speciality=endocrinology
gastroenterology;healthcare:speciality=gastroenterology
endoscopy;healthcare=clinic,healthcare:speciality=endoscopy
hepatology;healthcare:speciality=hepatology
proctology;healthcare=doctor,healthcare:speciality=proctology
genetics;healthcare:speciality=genetics
gerontology;healthcare:speciality=gerontology
geriatric_medicine;healthcare=doctor,healthcare:speciality=geriatrics
internal_medicine;healthcare=doctor,healthcare:speciality=internal
allergy_and_immunology;amenity=doctors,healthcare:speciality=allergology
infectious_disease;healthcare=doctor,healthcare:speciality=infectious_disease
tropical_medicine;healthcare=clinic,healthcare:speciality=tropical_medicine
oncology;healthcare:speciality=oncology
hematology;healthcare=doctor,healthcare:speciality=hematology
rheumatology;healthcare=doctor,healthcare:speciality=rheumatology
specialized_health_care;healthcare=clinic,healthcare:speciality=lice_treatment
aesthetic_medicine;
body_contouring;
dermatology;healthcare:speciality=dermatology
immunodermatology;healthcare=doctor,healthcare:speciality=immunodermatology
tattoo_removal;shop=beauty,beauty=tattoo_removal
orthopedics;healthcare=doctor,healthcare:speciality=orthopedics
podiatry;amenity=doctors,healthcare:speciality=podiatry
nephrology;healthcare=doctor,healthcare:speciality=nephrology
neurology;healthcare:speciality=neurology
neuropathology;healthcare=doctor,healthcare:speciality=neuropathology
nursing;amenity=nursing_home
nursing;
osteopathic_medicine;healthcare=alternative,alternative=osteopathy
osteopathic_medicine;healthcare=doctor,healthcare:speciality=osteopathy
pain_management;amenity=clinic,healthcare:speciality=pain_management
anesthesiology;amenity=doctors,healthcare:speciality=anaesthetics
specialized_health_care;
podiatry;healthcare=podiatrist
preventive_medicine;healthcare=clinic,healthcare:speciality=preventive
environmental_medicine;healthcare=doctor,healthcare:speciality=environmental_medicine
hyperbaric_medicine;healthcare=clinic,healthcare:speciality=hyperbaric
occupational_medicine;healthcare=clinic,healthcare:speciality=occupational_medicine
toxicology;healthcare=doctor,healthcare:speciality=toxicology
pulmonology;healthcare=doctor,healthcare:speciality=pulmonology
sleep_medicine;healthcare=doctor,healthcare:speciality=sleep_medicine
sports_medicine;amenity=clinic,healthcare:speciality=sports_medicine
urology;healthcare=doctor,healthcare:speciality=urology
vision_or_eye_care_clinic;amenity=clinic,healthcare=speciality=ophthalmology
ophthalmology;healthcare=doctor,healthcare:speciality=ophthalmology
refractive_surgery_or_lasik;amenity=clinic,healthcare=speciality=laser_surgery
retina_services;healthcare=doctor,healthcare:speciality=retina
optometry;healthcare=optometrist
abortion_clinic;amenity=clinic,healthcare:speciality=abortion
abuse_and_addiction_treatment_center;healthcare=counselling,healthcare:counselling=addiction
alcohol_and_drug_treatment_center;healthcare=rehabilitation,healthcare:speciality=drug_addiction
cancer_treatment_center;amenity=hospital,healthcare:speciality=oncology
dialysis_clinic;amenity=clinic,healthcare=speciality=dialysis
organ_and_tissue_donor_service;amenity=hospital,service=donor
surgery;healthcare=doctor,healthcare:speciality=surgery
cardiothoracic_surgery;amenity=doctors,healthcare:speciality=cardiothoracic_surgery
oral_and_maxillofacial_surgery;healthcare=dentist,healthcare:speciality=oral_surgery
pediatric_orthopedic_surgery;healthcare=doctor,healthcare:speciality=pediatric_orthopedics
spine_surgery;healthcare=doctor,healthcare:speciality=spine_surgery
pediatric_surgery;healthcare=doctor,healthcare:speciality=pediatric_surgery
plastic_and_reconstructive_surgery;healthcare=doctor,healthcare:speciality=plastic_surgery
cosmetic_surgery;
surgery_center;amenity=hospital,hospital:type=outpatient
animal_rescue_service;
animal_shelter;amenity=animal_shelter
pet_adoption;
horse_boarding;amenity=animal_boarding,animal_boarding=horse
horse_trainer;amenity=animal_training,animal_training=horse
pet_breeder;office=company,service=pet_breeding
pet_boarding;amenity=animal_boarding
pet_groomer;shop=pet_grooming
pet_sitting;
pet_training;amenity=animal_training
dog_trainer;amenity=animal_training,animal_training=dog
pet_transportation;office=transportation,transport=pet
pet_waste_removal;office=cleaning,cleaning=pet_waste
pet_insurance;
pet_photography;craft=photographer,subject=pets
animal_or_pet_service;
animal_hospital;
animal_physical_therapy;
emergency_pet_hospital;amenity=veterinary,emergency=yes
holistic_animal_care;amenity=veterinary,healthcare=alternative
pet_hospice;healthcare=hospice,hospice=animal
veterinarian;amenity=veterinary
food_consultant;
food_delivery_service;amenity=restaurant,delivery=yes,takeaway=no
personal_or_beauty_service;amenity=social_facility,social_facility=outreach
acne_treatment;amenity=clinic,healthcare:speciality=dermatology
hair_salon;shop=hairdresser
barber;shop=hairdresser,male=yes
barber;shop=hairdresser,barber=yes
beauty_salon;shop=beauty
tattoo_and_piercing;shop=tattoo,piercing=yes
piercing;shop=piercing
tattoo;shop=tattoo
eyebrow_service;
eyelash_service;
foot_care;healthcare=doctor,healthcare:speciality=podiatry
hair_removal;shop=beauty,beauty=hair_removal
laser_hair_removal;shop=beauty,beauty=laser_hair_removal
sugaring;shop=beauty,beauty=sugaring
threading_service;shop=beauty,beauty=threading
waxing;shop=beauty,beauty=waxing
hair_replacement;
hair_extensions;shop=beauty,beauty=hair_extensions
hair_loss_center;amenity=clinic,healthcare:speciality=hair_loss
hair_salon;
blow_dry_blow_out_service;
hair_stylist;
kids_hair_salon;shop=hairdresser,children=yes
image_consultant;
life_coach;office=consulting,consulting=life_coaching
matchmaker;office=consulting,consulting=matchmaking
nail_salon;shop=beauty,beauty=nails
shoe_repair;shop=shoe_repair
shoe_shining_service;amenity=shoe_shine
esthetician;
makeup_artist;shop=beauty,beauty=makeup
permanent_makeup;shop=beauty,beauty=permanent_makeup
tanning_salon;shop=beauty,beauty=tanning
spray_tanning;shop=beauty,beauty=tan
tanning_bed;
teeth_whitening;amenity=dentist,service=whitening
wellness_service;office=healthcare,healthcare=wellness
colonic_hydrotherapy;healthcare=alternative,healthcare:speciality=colon_hydrotherapy
cryotherapy;healthcare=clinic,clinic=cryotherapy
nutrition_service;healthcare=dietitian
halotherapy;healthcare:speciality=halotherapy
health_and_wellness_club;
hydrotherapy;healthcare=alternative,alternative=hydrotherapy
iv_hydration;healthcare=clinic,clinic=IV_therapy
massage_therapy;healthcare=alternative,alternative=massage_therapy
meditation_center;amenity=community_centre,community_centre=meditation
nutrition_service;
oxygen_bar;amenity=cafe,note=oxygen_bar
onsen;tourism=hotel,hot_spring=yes
sauna;leisure=sauna
snuggle_service;office=personal_services,service=companionship
day_spa;
float_spa;
health_spa;
medical_spa;amenity=spa,healthcare=yes
weight_loss_center;amenity=clinic,healthcare:speciality=weight_loss
bed_and_breakfast;tourism=guest_house,guest_house=bed_and_breakfast
cabin;tourism=chalet
campground;tourism=camp_site
cottage;
country_house;
holiday_park;
hostel;tourism=hostel
hotel;tourism=hotel
motel;tourism=motel
houseboat;shop=rental,rental=houseboat
inn;
lodge;
guest_house;tourism=guest_house
holiday_rental_home;
resort;leisure=resort
beach_resort;leisure=beach_resort
ski_resort;tourism=hotel,sport=skiing
rv_park;tourism=caravan_site
ryokan;tourism=guest_house,guest_house=ryokan
self_catering_accommodation;
agricultural_service;
agriculture_association;office=association
farm;shop=farm
dairy_farm;landuse=farmland,produce=dairy
orchard;landuse=orchard
pig_farm;landuse=farmland,animal=pig
poultry_farm;landuse=farmland,animal=chicken
ranch;landuse=farmland,farm=ranch
urban_farm;landuse=farmland,farmland=urban
farm_equipment_repair_service;craft=mechanic
b2b_agricultural_service;man_made=works,product=agricultural
b2b_agricultural_service;shop=trade,trade=food
agriculture;
b2b_farming;
farm_equipment_and_supply;shop=agrarian
fertilizer_store;
b2b_food_products;shop=trade,trade=food
crops_production;landuse=farmland
grain_production;landuse=farmland,crop=grain
orchards_production;
fish_farm;landuse=aquaculture,produce=fish
livestock_breeder;landuse=farmland,animal=cattle
poultry_farming;
b2b_mining;industrial=mine
b2b_coal_and_coke;shop=trade,trade=coal
b2b_oil_and_gas;office=company,industry=oil_gas
b2b_oil_and_gas_exploration_and_development;
b2b_power_plants_and_power_plant_service;power=plant
b2b_cleaning_and_waste_management;
logging_contractor;office=forestry,service=logging
logging_equipment_and_supplies;shop=trade,trade=logging_equipment
b2b_equipment_maintenance_and_repair;shop=trade,trade=industrial_equipment
casting_molding_service;
chemical_plant;landuse=industrial,industrial=chemical
inventory_control_service;office=logistics,service=inventory_management
laser_cutting_service;craft=engraver,engraver=laser
manufacturing_and_industrial_consultant;office=consulting,consulting=manufacturing
metal_plating_service;craft=metalworker,metalwork=plating
occupational_safety;office=consulting,consulting=occupational_safety
plastic_injection_molding_service;craft=plastic_worker
b2b_industrial_and_machine_service;shop=scrap
turnery;craft=turner
b2b_audio_visual_production;
b2b_hospital_equipment_and_supplies;
b2b_surgical_appliances_and_supplies;shop=medical_supply,medical_supply=surgical
b2b_advertising_and_marketing_service;
b2b_direct_mail_advertising;
b2b_marketing_consultant;
b2b_newspaper_advertising;
b2b_outdoor_advertising;
b2b_promotional_products_and_services;office=advertising,advertising=promotional_products
b2b_publicity_service;
b2b_radio_and_television_commercials;office=advertising,advertising=production
b2b_signage_service;
b2b_executive_search_consultants;
b2b_records_storage_service;
restaurant_management;office=company,service=restaurant_management
b2b_science_and_technology_service;
b2b_scientific_equipment;shop=trade,trade=scientific_equipment
tower_communication_service;man_made=tower,tower:type=communication
b2b_transportation_and_storage_service;
freight_and_cargo_service;
freight_forwarding_agency;
motor_freight_trucking;office=logistics,logistics=trucking
pipeline_transportation;office=company,industry=pipeline
railroad_freight;office=logistics,logistics=rail
supplier_or_distributor;shop=trade,trade=office_supplies
manufacturer;
commercial_industrial;
b2b_service;
b2b_energy_and_utility_service;shop=solar
apparel_manufacturer;shop=trade,trade=clothes
shoe_factory_manufacturer;man_made=works,product=shoes
appliance_manufacturer;man_made=works,product=household_appliances
furniture_manufacturer;shop=trade,trade=furniture
cosmetic_products_manufacturer;man_made=works,product=cosmetics
glass_manufacturer;man_made=works,product=glass
hardware_and_fastener_manufacturer;shop=trade,trade=hardware
jewelry_and_watches_manufacturer;craft=jeweller
jewelry_manufacturer;
leather_products_manufacturer;craft=leather_worker
machinery_and_tool_manufacturer;
industrial_equipment_manufacturer;
mattress_manufacturing;man_made=works,product=mattress
metal_fabricator;
iron_fabricator;
metal_fabricator;
sheet_metal_fabricator;shop=trade,trade=sheet_metal
cotton_mill;man_made=works,product=cotton
flour_mill;man_made=works,product=flour
paper_mill;man_made=works,product=paper
rice_mill;man_made=works,product=rice
textile_mill;man_made=works,product=textile
weaving_mill;
plastic_manufacturer;man_made=works,product=plastic
rubber_and_plastics_manufacturer;shop=trade,trade=plastics
sporting_goods_manufacturer;shop=trade,trade=sports_equipment
textile_manufacturer;shop=trade,trade=clothes
vehicle_manufacturer;shop=trade,trade=vehicles
aircraft_manufacturer;man_made=works,product=aircraft
boat_and_ship_manufacturer;craft=boatbuilder
motorcycle_manufacturer;man_made=works,product=motorcycle
tires_manufacturer;shop=trade,trade=tyres
abrasives_supplier;shop=trade
aggregate_supplier;
aluminum_supplier;
awning_supplier;shop=trade,trade=awnings
battery_inverter_supplier;
bearing_supplier;
beauty_product_supplier;shop=trade,trade=cosmetics
beverage_supplier;shop=trade,trade=beverages
box_lunch_supplier;shop=trade,trade=catering_supplies
business_office_supplies_and_stationery;shop=stationery
cement_supplier;shop=trade,trade=cement
cleaning_products_supplier;shop=trade,trade=cleaning_supplies
corporate_gift_supplier;
electronic_parts_supplier;shop=electronics,product=components
fastener_supplier;
granite_supplier;shop=trade,trade=granite
hotel_supply_service;shop=wholesale,product=hotel_supplies
hvac_supplier;shop=wholesale,product=HVAC
hydraulic_equipment_supplier;shop=wholesale,product=hydraulics
ice_supplier;shop=ice
food_and_beverage_exporter;office=import_export,product=food
laboratory_equipment_supplier;shop=medical_supply,medical_supply=laboratory
metal_supplier;shop=trade,trade=metal
pipe_supplier;shop=trade,trade=pipes
playground_equipment_supplier;shop=wholesale,product=playground_equipment
printing_equipment_supplier;shop=office_supplies,product=printers
propane_supplier;shop=fuel,fuel=propane
restaurant_equipment_and_supply;shop=wholesale,product=restaurant_supplies
retaining_wall_supplier;shop=trade,trade=retaining_walls
sand_and_gravel_supplier;shop=trade,trade=sand
scale_supplier;shop=trade,trade=scales
spring_supplier;shop=trade,trade=springs
stone_supplier;shop=trade,trade=stone
tableware_supplier;shop=houseware,product=tableware
tent_house_supplier;shop=rental,rental=tents
thread_supplier;shop=wholesale,product=threads
vending_machine_supplier;shop=wholesale,product=vending_machines
water_softening_equipment_supplier;shop=trade,trade=water_softener
window_supplier;shop=trade,trade=windows
wholesaler;
computer_wholesaler;
electrical_wholesaler;shop=wholesale,product=electrical
fabric_wholesaler;shop=wholesale,product=fabric
fitness_equipment_wholesaler;shop=wholesale,product=fitness_equipment
fmcg_wholesaler;
footwear_wholesaler;shop=wholesale,product=shoes
greengrocer;shop=greengrocer
industrial_spares_and_products_wholesaler;shop=wholesale,product=industrial_spares
iron_and_steel_store;
lingerie_wholesaler;shop=wholesale,product=lingerie
meat_wholesaler;shop=wholesale,product=meat
optical_wholesaler;shop=wholesale,product=optics
pharmaceutical_products_wholesaler;shop=wholesale,product=pharmaceuticals
produce_wholesaler;shop=wholesale,product=produce
restaurant_wholesale;shop=wholesale,product=food_service
seafood_wholesaler;shop=wholesale,product=seafood
spices_wholesaler;shop=wholesale,product=spices
tea_wholesaler;shop=wholesale,product=tea
threads_and_yarns_wholesaler;shop=wholesale,product=yarn
tools_wholesaler;shop=wholesale,product=tools
wholesale_florist;shop=wholesale,product=flowers
wholesale_grocer;shop=wholesale,product=grocery
wine_wholesaler;shop=wholesale,product=wine
b2b_environmental_service;man_made=works,product=pulp
construction_management;
road_contractor;office=contractor,contractor=road
stone_and_masonry;craft=stonemason
b2b_service;office=yes
environmental_or_ecological_service;
corporate_or_business_office;office=company
auto_company;
bags_luggage_company;shop=bag
biotechnology_company;
bottled_water_company;
clothing_company;
energy_company;office=energy_supplier
ferry_boat_company;office=transportation,transport=ferry
industrial_company;office=industrial
information_technology_company;office=it
pharmaceutical_company;office=company,industry=pharmaceutical
private_association;
telecommunications_company;office=telecommunication
tobacco_company;office=company,industry=tobacco
travel_company;
architect;office=architect
architectural_designer;
graphic_designer;office=design,design=graphics
product_design;
sign_making;craft=signmaker
web_designer;
environmental_conservation_organization;
environmental_testing_service;amenity=laboratory,laboratory=environmental
forestry_service;office=government,government=forestry
wildlife_control;office=contractor,contractor=wildlife_removal
event_or_party_service;office=event_management
audiovisual_equipment_rental;amenity=rental
bartender;
boat_charter;amenity=boat_rental,boat:charter=yes
bounce_house_rental;
caricature;shop=comics
caterer;craft=caterer
clown;
dj_service;office=entertainment,entertainment=dj
event_technology_service;
face_painting;
floral_designer;
game_truck_rental;shop=rental,rental=video_games
golf_cart_rental;shop=rental,rental=golf_cart
henna_artist;craft=tattoo
karaoke_rental;shop=rental,rental=karaoke
kids_recreation_and_party;
magician;office=entertainment,entertainment=magician
mohel;healthcare=doctor,healthcare:speciality=circumcision
musician;craft=artist,genre=music
party_and_event_planning;
party_bike_rental;shop=rental,rental=party_bike
party_bus_rental;shop=rental,rental=party_bus
party_character;office=entertainment,entertainment=party_character
