airport;aeroway=aerodrome
stone_and_masonry;craft=stonemason
gents_tailor;craft=tailor  
henna_artist;craft=tattoo  
taxidermist;craft=taxidermist  
tiling;craft=tiler
turnery;craft=turner  
auto_upholstery;craft=upholsterer
watch_repair_service;craft=watchmaker  
welders;craft=welder
winery;craft=winery
home_service;craft=yes
geologic_formation;geological=outcrop  
driving_range;golf=driving_range
dermatologist;healthcare:speciality=dermatology
gastroenterologist;healthcare:speciality=gastroenterology
geneticist;healthcare:speciality=genetics
gerontologist;healthcare:speciality=gerontology
obstetrician_and_gynecologist;healthcare:speciality=gynaecology
halotherapy;healthcare:speciality=halotherapy
hepatologist;healthcare:speciality=hepatology
neurologist;healthcare:speciality=neurology
oncologist;healthcare:speciality=oncology
alternative_medicine;healthcare=alternative
hydrotherapy;healthcare=alternative,alternative=hydrotherapy  
hypnosis_hypnotherapy;healthcare=alternative,alternative=hypnotherapy  
massage_therapy;healthcare=alternative,alternative=massage_therapy  
naturopathic_holistic;healthcare=alternative,alternative=naturopathy  
osteopath;healthcare=alternative,alternative=osteopathy  
placenta_encapsulation_service;healthcare=alternative,alternative=placenta_encapsulation  
reflexology;healthcare=alternative,alternative=reflexology  
reiki;healthcare=alternative,alternative=reiki  
sophrologist;healthcare=alternative,alternative=sophrology  
tui_na;healthcare=alternative,alternative=tuina  
acupuncture;healthcare=alternative,healthcare:speciality=acupuncture
ayurveda;healthcare=alternative,healthcare:speciality=ayurveda
colonics;healthcare=alternative,healthcare:speciality=colon_hydrotherapy  
traditional_chinese_medicine;healthcare=alternative,healthcare:speciality=traditional_chinese_medicine
chiropractor;healthcare=alternative,healthcare:specialty=chiropractic
audiologist;healthcare=audiologist
blood_and_plasma_donation_center;healthcare=blood_donation  
cryotherapy;healthcare=clinic,clinic=cryotherapy  
iv_hydration;healthcare=clinic,clinic=IV_therapy  
endoscopist;healthcare=clinic,healthcare:speciality=endoscopy  
undersea_hyperbaric_medicine;healthcare=clinic,healthcare:speciality=hyperbaric  
lice_treatment;healthcare=clinic,healthcare:speciality=lice_treatment  
occupational_medicine;healthcare=clinic,healthcare:speciality=occupational_medicine  
prenatal_perinatal_care;healthcare=clinic,healthcare:speciality=prenatal_care  
preventive_medicine;healthcare=clinic,healthcare:speciality=preventive  
tropical_medicine;healthcare=clinic,healthcare:speciality=tropical_medicine  
marriage_or_relationship_counselor;healthcare=counselling  
stress_management_services;healthcare=counselling,counselling=stress  
suicide_prevention_services;healthcare=counselling,counselling=suicide_prevention  
abuse_and_addiction_treatment;healthcare=counselling,healthcare:counselling=addiction
childbirth_education;healthcare=counselling,healthcare:counselling=antenatal  
family_counselor;healthcare=counselling,healthcare:counselling=family
endodontist;healthcare=dentist,healthcare:speciality=endodontics  
oral_surgeon;healthcare=dentist,healthcare:speciality=oral_surgery  
orthodontist;healthcare=dentist,healthcare:speciality=orthodontics  
periodontist;healthcare=dentist,healthcare:speciality=periodontics  
prosthodontist;healthcare=dentist,healthcare:speciality=prosthodontics  
dietitian;healthcare=dietitian  
mohel;healthcare=doctor,healthcare:speciality=circumcision  
endocrinologist;healthcare=doctor,healthcare:speciality=endocrinology  
ear_nose_and_throat;healthcare=doctor,healthcare:speciality=ENT  
environmental_medicine;healthcare=doctor,healthcare:speciality=environmental_medicine  
geriatric_psychiatry;healthcare=doctor,healthcare:speciality=geriatric_psychiatry  
geriatric_medicine;healthcare=doctor,healthcare:speciality=geriatrics  
hematology;healthcare=doctor,healthcare:speciality=hematology  
homeopathic_medicine;healthcare=doctor,healthcare:speciality=homeopathy  
immunodermatologist;healthcare=doctor,healthcare:speciality=immunodermatology  
infectious_disease_specialist;healthcare=doctor,healthcare:speciality=infectious_disease  
internal_medicine;healthcare=doctor,healthcare:speciality=internal
hospitalist;healthcare=doctor,healthcare:speciality=internal_medicine  
nephrologist;healthcare=doctor,healthcare:speciality=nephrology  
neuropathologist;healthcare=doctor,healthcare:speciality=neuropathology  
neurotologist;healthcare=doctor,healthcare:speciality=neurotology  
ophthalmologist;healthcare=doctor,healthcare:speciality=ophthalmology  
orthopedist;healthcare=doctor,healthcare:speciality=orthopedics  
osteopathic_physician;healthcare=doctor,healthcare:speciality=osteopathy  
otologist;healthcare=doctor,healthcare:speciality=otology  
pathologist;healthcare=doctor,healthcare:speciality=pathology  
pediatric_anesthesiology;healthcare=doctor,healthcare:speciality=pediatric_anesthesiology  
pediatric_cardiology;healthcare=doctor,healthcare:speciality=pediatric_cardiology  
pediatric_endocrinology;healthcare=doctor,healthcare:speciality=pediatric_endocrinology  
pediatric_gastroenterology;healthcare=doctor,healthcare:speciality=pediatric_gastroenterology  
pediatric_infectious_disease;healthcare=doctor,healthcare:speciality=pediatric_infectious_disease  
pediatric_nephrology;healthcare=doctor,healthcare:speciality=pediatric_nephrology  
pediatric_neurology;healthcare=doctor,healthcare:speciality=pediatric_neurology  
pediatric_oncology;healthcare=doctor,healthcare:speciality=pediatric_oncology  
pediatric_orthopedic_surgery;healthcare=doctor,healthcare:speciality=pediatric_orthopedics  
pediatric_pulmonology;healthcare=doctor,healthcare:speciality=pediatric_pulmonology  
pediatric_radiology;healthcare=doctor,healthcare:speciality=pediatric_radiology  
pediatric_surgery;healthcare=doctor,healthcare:speciality=pediatric_surgery  
pediatrician;healthcare=doctor,healthcare:speciality=pediatrics  
phlebologist;healthcare=doctor,healthcare:speciality=phlebology  
plastic_surgeon;healthcare=doctor,healthcare:speciality=plastic_surgery  
foot_care;healthcare=doctor,healthcare:speciality=podiatry  
proctologist;healthcare=doctor,healthcare:speciality=proctology  
pulmonologist;healthcare=doctor,healthcare:speciality=pulmonology  
radiologist;healthcare=doctor,healthcare:speciality=radiology  
retina_specialist;healthcare=doctor,healthcare:speciality=retina  
rheumatologist;healthcare=doctor,healthcare:speciality=rheumatology  
sleep_specialist;healthcare=doctor,healthcare:speciality=sleep_medicine  
spine_surgeon;healthcare=doctor,healthcare:speciality=spine_surgery  
surgeon;healthcare=doctor,healthcare:speciality=surgery  
toxicologist;healthcare=doctor,healthcare:speciality=toxicology  
urologist;healthcare=doctor,healthcare:speciality=urology  
vascular_medicine;healthcare=doctor,healthcare:speciality=vascular_medicine  
hospice;healthcare=hospice
pet_hospice;healthcare=hospice,hospice=animal  
clinical_laboratories;healthcare=laboratory  
midwife;healthcare=midwife
optometrist;healthcare=optometrist
physical_therapy;healthcare=physiotherapist
podiatrist;healthcare=podiatrist
psychologist;healthcare=psychologist  
psychoanalyst;healthcare=psychologist,healthcare:speciality=psychoanalysis  
sports_psychologist;healthcare=psychologist,healthcare:speciality=sports_psychology  
psychotherapist;healthcare=psychotherapist
sex_therapist;healthcare=psychotherapist,healthcare:speciality=sex_therapy  
addiction_rehabilitation_center;healthcare=rehabilitation,healthcare:speciality=drug_addiction
alcohol_and_drug_treatment_center;healthcare=rehabilitation,healthcare:speciality=drug_addiction
alcohol_and_drug_treatment_centers;healthcare=rehabilitation,healthcare:speciality=drug_addiction
speech_therapist;healthcare=speech_therapist
occupational_therapy;healthcare=therapy,therapy=occupational  
psychomotor_therapist;healthcare=therapy,therapy=psychomotor  
health_and_medical;healthcare=yes
bicycle_path;highway=cycleway  
trail;highway=path
mountain_bike_trails;highway=path,bicycle=yes
hiking_trail;highway=path,sac_scale=hiking
shopping_passage;highway=pedestrian,covered=yes  
go_kart_track;highway=raceway,sport=karting
rest_areas;highway=services
castle;historic=castle
palace;historic=castle,castle_type=palace
fort;historic=fort
sculpture_statue;historic=memorial,memorial=statue
mills;historic=mill  
monument;historic=monument
ruin;historic=ruins
mining;industrial=mine
oil_refiners;industrial=refinery
junkyard;industrial=scrap_yard
fish_farm;landuse=aquaculture,produce=fish  
cemeteries;landuse=cemetery  
crops_production;landuse=farmland  
livestock_breeder;landuse=farmland,animal=cattle  
poultry_farm;landuse=farmland,animal=chicken  
pig_farm;landuse=farmland,animal=pig  
grain_production;landuse=farmland,crop=grain  
ranch;landuse=farmland,farm=ranch  
urban_farm;landuse=farmland,farmland=urban  
dairy_farm;landuse=farmland,produce=dairy  
pumpkin_patch;landuse=farmland,produce=pumpkin,seasonal=yes  
pick_your_own_farm;landuse=farmland,produce=various,pick_your_own=yes  
csa_farm;landuse=farmland,produce=vegetables  
chemical_plant;landuse=industrial,industrial=chemical  
orchard;landuse=orchard
quarries;landuse=quarry  
mobile_home_park;landuse=residential,residential=mobile_home_park  
ski_area;landuse=winter_sports  
arcade;leisure=amusement_arcade
beach_resort;leisure=beach_resort
bowling_alley;leisure=bowling_alley
climbing_class;leisure=climbing  
marching_band;leisure=club,club=music  
social_club;leisure=club,club=social  
sports_club_and_league;leisure=club,club=sport  
lawn_bowling_club;leisure=club,club=sport,sport=bowls  
esports_team;leisure=club,club=sport,sport=e-sports  
fishing_club;leisure=club,club=sport,sport=fishing  
golf_club;leisure=club,club=sport,sport=golf  
go_kart_club;leisure=club,club=sport,sport=karting  
kickboxing_club;leisure=club,club=sport,sport=kickboxing  
surf_lifesaving_club;leisure=club,club=sport,sport=lifesaving  
muay_thai_club;leisure=club,club=sport,sport=martial_arts  
paddle_tennis_club;leisure=club,club=sport,sport=padel  
rowing_club;leisure=club,club=sport,sport=rowing  
sailing_club;leisure=club,club=sport,sport=sailing  
school_sports_team;leisure=club,club=sport,sport=school  
football_club;leisure=club,club=sport,sport=soccer  
dance_school;leisure=dance,dance:teaching=yes
disc_golf_course;leisure=disc_golf_course
dog_park;leisure=dog_park
escape_rooms;leisure=escape_game
gym;leisure=fitness_centre
boxing_gym;leisure=fitness_centre,sport=boxing
cheerleading;leisure=fitness_centre,sport=cheerleading  
cycling_classes;leisure=fitness_centre,sport=cycling  
barre_classes;leisure=fitness_centre,sport=fitness  
pilates_studio;leisure=fitness_centre,sport=pilates  
qi_gong_studio;leisure=fitness_centre,sport=qi_gong  
rock_climbing_gym;leisure=fitness_centre,sport=rock_climbing,indoor=yes
tai_chi_studio;leisure=fitness_centre,sport=tai_chi  
yoga_studio;leisure=fitness_centre,sport=yoga
botanical_garden;leisure=garden,garden:type=botanical
community_gardens;leisure=garden,garden:type=community  
golf_course;leisure=golf_course
indoor_golf_center;leisure=golf_course,golf:course=driving_range,indoor=yes
horse_riding;leisure=horse_riding
ice_skating_rink;leisure=ice_rink  
laser_tag;leisure=laser_tag  
marina;leisure=marina
miniature_golf_course;leisure=miniature_golf
nature_reserve;leisure=nature_reserve
park;leisure=park
memorial_park;leisure=park,park:type=memorial  
atv_recreation_park;leisure=park,sport=atv
mountain_bike_parks;leisure=park,sport=mountain_biking  
airsoft_fields;leisure=pitch,sport=airsoft
american_football_field;leisure=pitch,sport=american_football
archery_range;leisure=pitch,sport=archery
badminton_court;leisure=pitch,sport=badminton
baseball_field;leisure=pitch,sport=baseball
basketball_court;leisure=pitch,sport=basketball
beach_volleyball_court;leisure=pitch,sport=beachvolleyball
bobsledding_field;leisure=pitch,sport=bobsled  
bocce_ball_court;leisure=pitch,sport=boules
cricket_ground;leisure=pitch,sport=cricket
hockey_field;leisure=pitch,sport=field_hockey
futsal_field;leisure=pitch,sport=futsal
handball_court;leisure=pitch,sport=handball
paintball;leisure=pitch,sport=paintball
racquetball_court;leisure=pitch,sport=racquetball
rugby_pitch;leisure=pitch,sport=rugby
soccer_field;leisure=pitch,sport=soccer
squash_court;leisure=pitch,sport=squash
tennis_court;leisure=pitch,sport=tennis
volleyball_court;leisure=pitch,sport=volleyball
playground;leisure=playground
indoor_playcenter;leisure=playground,indoor=yes  
resort;leisure=resort
sauna;leisure=sauna
skate_park;leisure=skate_park  
adventure_sports_center;leisure=sports_centre
axe_throwing;leisure=sports_centre,sport=axe_throwing
batting_cage;leisure=sports_centre,sport=baseball  
pool_billiards;leisure=sports_centre,sport=billiards
rafting_kayaking_area;leisure=sports_centre,sport=canoe  
fencing_club;leisure=sports_centre,sport=fencing
flyboarding_center;leisure=sports_centre,sport=flyboarding  
flyboarding_rental;leisure=sports_centre,sport=flyboarding,rental=yes  
gymnastics_center;leisure=sports_centre,sport=gymnastics  
hang_gliding_center;leisure=sports_centre,sport=hang_gliding  
wildlife_hunting_range;leisure=sports_centre,sport=hunting  
karate_club;leisure=sports_centre,sport=karate
kiteboarding;leisure=sports_centre,sport=kitesurfing  
paddleboarding_center;leisure=sports_centre,sport=paddleboarding  
roller_skating_rink;leisure=sports_centre,sport=roller_skating  
sailing_area;leisure=sports_centre,sport=sailing  
shooting_range;leisure=sports_centre,sport=shooting  
snowboarding_center;leisure=sports_centre,sport=snowboard  
soccer_club;leisure=sports_centre,sport=soccer
surfing;leisure=sports_centre,sport=surfing  
table_tennis_club;leisure=sports_centre,sport=table_tennis
taekwondo_club;leisure=sports_centre,sport=taekwondo
volleyball_club;leisure=sports_centre,sport=volleyball
windsurfing_center;leisure=sports_centre,sport=windsurfing  
ziplining_center;leisure=sports_centre,sport=zip_line  
zorbing_center;leisure=sports_centre,sport=zorbing
rock_climbing_instructor;leisure=sports_hall,sport=climbing
stadium_arena;leisure=stadium
baseball_stadium;leisure=stadium,sport=baseball  
basketball_stadium;leisure=stadium,sport=basketball  
hockey_arena;leisure=stadium,sport=hockey
horse_racing_track;leisure=stadium,sport=horse_racing  
rodeo;leisure=stadium,sport=rode o  
rugby_stadium;leisure=stadium,sport=rugby
football_stadium;leisure=stadium,sport=soccer  
tennis_stadium;leisure=stadium,sport=tennis  
track_stadium;leisure=stadium,sport=track
swimming_pool;leisure=swimming_pool
race_track;leisure=track,sport=motor  
trampoline_park;leisure=trampoline_park
water_park;leisure=water_park
bridge;man_made=bridge
lighthouse;man_made=lighthouse
weather_station;man_made=monitoring_station,monitoring:weather=yes
observatory;man_made=observatory
pier;man_made=pier
quay;man_made=quay
grain_elevators;man_made=silo  
tower;man_made=tower
tower_communication_service;man_made=tower,tower:type=communication
agricultural_production;man_made=works,product=agricultural
aircraft_manufacturer;man_made=works,product=aircraft
cosmetic_products_manufacturer;man_made=works,product=cosmetics  
cotton_mill;man_made=works,product=cotton  
flour_mill;man_made=works,product=flour  
glass_manufacturer;man_made=works,product=glass  
appliance_manufacturer;man_made=works,product=household_appliances
lighting_fixture_manufacturers;man_made=works,product=lighting  
saw_mill;man_made=works,product=lumber  
mattress_manufacturing;man_made=works,product=mattress  
motorcycle_manufacturer;man_made=works,product=motorcycle  
paper_mill;man_made=works,product=paper  
plastic_manufacturer;man_made=works,product=plastic  
plastic_fabrication_company;man_made=works,product=plastic_parts  
wood_and_pulp;man_made=works,product=pulp  
rice_mill;man_made=works,product=rice  
shoe_factory;man_made=works,product=shoes  
iron_and_steel_industry;man_made=works,product=steel  
textile_mill;man_made=works,product=textile  
rock_climbing_spot;natural=bare_rock,sport=climbing  
beach;natural=beach
cave;natural=cave_entrance
desert;natural=desert
sand_dune;natural=dune  
hot_springs;natural=hot_spring  
mountain;natural=peak
canyon;natural=valley
crater;natural=volcano  
lake;natural=water,water=lake
forest;natural=wood
accountant;office=accountant
personal_assistant;office=administrative  
transcription_services;office=administrative,service=transcription  
adoption_services;office=adoption_agency
marketing_agency;office=advertising  
advertising_agency;office=advertising_agency
internet_marketing_service;office=advertising,advertising=online  
public_relations;office=advertising,advertising=PR  
radio_and_television_commercials;office=advertising,advertising=production  
promotional_products_and_services;office=advertising,advertising=promotional_products  
social_media_agency;office=advertising,advertising=social_media  
architect;office=architect
landscape_architect;office=architect,architect=landscape  
agriculture_association;office=association
film_festivals_and_organizations;office=association,association=film_festival  
homeowner_association;office=association,association=homeowners  
housing_cooperative;office=association,association=housing_cooperative  
music_festivals_and_organizations;office=association,association=music_festival  
musical_band_orchestras_and_symphonies;office=association,association=orchestra  
political_organization;office=association,association=political  
school_sports_league;office=association,association=school_sports  
professional_sports_league;office=association,association=sports_league  
domestic_business_and_trade_organizations;office=association,association=trade  
veterans_organization;office=association,association=veterans  
bail_bonds_service;office=bail_bond_agent
personal_chef;office=catering  
charity_organization;office=charity
home_cleaning;office=cleaning  
industrial_cleaning_services;office=cleaning,cleaning=industrial  
pet_waste_removal;office=cleaning,cleaning=pet_waste  
window_washing;office=cleaning,cleaning=windows  
business;office=company  
home_developer;office=company,company=developer  
oil_and_gas;office=company,industry=oil_gas  
pharmaceutical_companies;office=company,industry=pharmaceutical  
pipeline_transportation;office=company,industry=pipeline  
plastic_company;office=company,industry=plastic  
tobacco_company;office=company,industry=tobacco  
digitizing_services;office=company,service=digitization  
fishing_charter;office=company,service=fishing_charter  
holiday_decorating;office=company,service=holiday_decorating  
home_health_care;office=company,service=home_health_care  
house_sitting;office=company,service=house_sitting  
inspection_services;office=company,service=inspection  
livestock_dealers;office=company,service=livestock_trading  
media_restoration_service;office=company,service=media_restoration  
packaging_contractors_and_service;office=company,service=packaging  
pet_breeder;office=company,service=pet_breeding  
restaurant_management;office=company,service=restaurant_management  
roadside_assistance;office=company,service=roadside_assistance  
shredding_services;office=company,service=shredding  
officiating_services;office=company,service=wedding_officiant  
builders;office=construction  
business_consulting;office=consulting  
automotive_consultant;office=consulting,consulting=automotive
elder_care_planning;office=consulting,consulting=elder_care  
electrical_consultant;office=consulting,consulting=electrical  
home_energy_auditor;office=consulting,consulting=energy_audit  
energy_management_and_conservation_consultants;office=consulting,consulting=energy_management  
environmental_and_ecological_services_for_businesses;office=consulting,consulting=environmental  
personal_shopper;office=consulting,consulting=fashion  
feng_shui;office=consulting,consulting=feng_shui  
food_and_beverage_consultant;office=consulting,consulting=food_service  
forestry_consultants;office=consulting,consulting=forestry  
geological_services;office=consulting,consulting=geological  
health_consultant;office=consulting,consulting=health  
immigration_assistance_services;office=consulting,consulting=immigration  
international_business_and_trade_services;office=consulting,consulting=international_trade  
lactation_services;office=consulting,consulting=lactation  
life_coach;office=consulting,consulting=life_coaching  
manufacturing_and_industrial_consultant;office=consulting,consulting=manufacturing  
matchmaker;office=consulting,consulting=matchmaking  
occupational_safety;office=consulting,consulting=occupational_safety  
home_organization;office=consulting,consulting=organization  
sommelier_service;office=consulting,consulting=wine  
writing_service;office=consulting,consulting=writing  
contractor;office=contractor  
tree_services;office=contractor,contractor=arborist  
crane_services;office=contractor,contractor=crane  
damage_restoration;office=contractor,contractor=damage_restoration  
fire_and_water_damage_restoration;office=contractor,contractor=damage_restoration  
deck_and_railing_sales_service;office=contractor,contractor=decking  
demolition_service;office=contractor,contractor=demolition  
door_sales_service;office=contractor,contractor=doors  
drywall_services;office=contractor,contractor=drywall  
generator_installation_repair;office=contractor,contractor=electrical  
elevator_service;office=contractor,contractor=elevator  
excavation_service;office=contractor,contractor=excavation  
fence_and_gate_sales_service;office=contractor,contractor=fencing  
foundation_repair;office=contractor,contractor=foundation_repair  
garage_door_service;office=contractor,contractor=garage_doors  
hvac_services;office=contractor,contractor=HVAC  
irrigation;office=contractor,contractor=irrigation  
countertop_installation;office=contractor,contractor=kitchen  
kitchen_remodeling;office=contractor,contractor=kitchen_remodeling  
masonry_contractors;office=contractor,contractor=masonry  
misting_system_services;office=contractor,contractor=mist_systems  
patio_covers;office=contractor,contractor=patio_covers  
paving_contractor;office=contractor,contractor=paving  
pest_control_service;office=contractor,contractor=pest_control  
water_heater_installation_repair;office=contractor,contractor=plumbing  
pool_and_hot_tub_services;office=contractor,contractor=pool_service  
pressure_washing;office=contractor,contractor=pressure_washing  
road_contractor;office=contractor,contractor=road  
gutter_service;office=contractor,contractor=roofing  
sandblasting_service;office=contractor,contractor=sandblasting  
septic_services;office=contractor,contractor=septic  
siding;office=contractor,contractor=siding  
skylight_installation;office=contractor,contractor=skylight  
snow_removal_service;office=contractor,contractor=snow_removal  
solar_installation;office=contractor,contractor=solar  
solar_panel_cleaning;office=contractor,contractor=solar_cleaning  
stucco_services;office=contractor,contractor=stucco  
tv_mounting;office=contractor,contractor=tv_installation  
wallpaper_installers;office=contractor,contractor=wallpaper  
waterproofing;office=contractor,contractor=waterproofing  
well_drilling;office=contractor,contractor=well_drilling  
wildlife_control;office=contractor,contractor=wildlife_removal  
home_window_tinting;office=contractor,contractor=window_tinting  
windows_installation;office=contractor,contractor=windows  
agricultural_cooperatives;office=cooperative,cooperative=agricultural
water_delivery;office=delivery,delivery=water  
animation_studio;office=design
graphic_designer;office=design,design=graphics  
home_staging;
interior_design;office=design,design=interior  
embassy;office=diplomatic,diplomatic=embassy
educational_services;office=education  
energy_company;office=energy_supplier  
electric_utility_provider;
electricity_supplier;office=energy_supplier,energy=electricity  
natural_gas_supplier;office=energy_supplier,energy=gas  
wind_energy;office=energy_supplier,energy=wind  
engineering_services;office=engineering  
agricultural_engineering_service;office=engineering,engineering=agricultural
civil_engineers;office=engineering,engineering=civil  
structural_engineer;office=engineering,engineering=structural  
dj_service;office=entertainment,entertainment=dj  
magician;office=entertainment,entertainment=magician  
party_character;office=entertainment,entertainment=party_character  
scavenger_hunts_provider;office=entertainment,entertainment=scavenger_hunt  
talent_agency;office=entertainment,entertainment=talent_agency  
team_building_activity;office=entertainment,entertainment=team_building  
theatrical_productions;office=entertainment,entertainment=theatre_production  
trivia_host;office=entertainment,entertainment=trivia  
environmental_abatement_services;office=environmental  
real_estate;office=estate_agent
event_planning;office=event_management  
wedding_planning;office=event_management,event_management=wedding  
financial_service;office=financial
business_brokers;office=financial_advisor
stock_and_bond_brokers;office=financial,financial=broker  
debt_relief_services;office=financial,financial=debt_advice  
real_estate_investment;office=financial,financial=real_estate  
logging_services;office=forestry  
logging_contractor;office=forestry,service=logging  
government_services;office=government
school_district_offices;office=government,government=education  
forestry_service;office=government,government=forestry  
health_department;office=government,government=health  
housing_authorities;office=government,government=housing  
immigration_and_naturalization;office=government,government=immigration  
weather_forecast_services;office=government,government=meteorological  
registry_office;office=government,government=registration  
office_of_vital_records;office=government,government=registry  
national_security_services;office=government,government=security  
social_security_services;office=government,government=social_security  
child_protection_service;
department_of_social_service;office=government,government=social_services  
tax_office;office=government,government=tax  
department_of_motor_vehicles;office=government,government=transportation  
road_structures_and_services;
unemployment_office;office=government,government=unemployment  
doula;office=healthcare,healthcare=speciality=doula  
wellness_program;office=healthcare,healthcare=wellness  
human_resource_services;office=hr  
exporters;office=import_export  
food_and_beverage_exporter;office=import_export,product=food  
industrial_company;office=industrial  
insurance_agency;office=insurance
public_adjuster;office=insurance,insurance=adjuster  
auto_insurance;office=insurance,insurance=car
farm_insurance;office=insurance,insurance=farm
home_and_rental_insurance;office=insurance,insurance=home
life_insurance;office=insurance,insurance=life
information_technology_company;office=it
social_media_company;office=it,it=social_media  
data_recovery;office=it,service=data_recovery  
home_automation;office=it,service=home_automation  
home_network_installation;office=it,service=network_installation  
medical_research_and_development;office=laboratory,research=medical  
lawn_service;office=landscaping  
indoor_landscaping;office=landscaping,indoor=yes  
lawyer;office=lawyer
appellate_practice_lawyers;office=lawyer,lawyer=appellate
bankruptcy_law;office=lawyer,lawyer=bankruptcy
business_law;office=lawyer,lawyer=business
civil_rights_lawyers;office=lawyer,lawyer=civil_rights  
contract_law;office=lawyer,lawyer=contract
criminal_defense_law;office=lawyer,lawyer=criminal_defense
disability_law;office=lawyer,lawyer=disability
divorce_and_family_law;office=lawyer,lawyer=divorce_and_family
dui_law;office=lawyer,lawyer=dui
employment_law;office=lawyer,lawyer=employment
entertainment_law;office=lawyer,lawyer=entertainment
estate_planning_law;office=lawyer,lawyer=estate_planning
immigration_law;office=lawyer,lawyer=immigration
ip_and_internet_law;office=lawyer,lawyer=ip_and_internet
medical_law;office=lawyer,lawyer=medical
notary_public;office=lawyer,lawyer=notary
patent_law;office=lawyer,lawyer=patent
personal_injury_law;office=lawyer,lawyer=personal_injury
real_estate_law;office=lawyer,lawyer=real_estate
social_security_law;office=lawyer,lawyer=social_security
tenant_and_eviction_law;office=lawyer,lawyer=tenant_and_eviction
traffic_ticketing_law;office=lawyer,lawyer=traffic_ticketing
workers_compensation_law;office=lawyer,lawyer=workers_compensation
wills_trusts_and_probate;office=lawyer,legal=estate  
mediator;office=lawyer,legal=mediation  
tax_law;office=lawyer,legal=tax  
court_reporter;office=legal,legal=courtreport  
paralegal_services;office=legal,legal=paralegal  
process_servers;office=legal,legal=process_server  
distribution_services;office=logistics
railroad_freight;office=logistics,logistics=rail  
motor_freight_trucking;office=logistics,logistics=trucking  
food_beverage_service_distribution;office=logistics,service=food_distribution  
inventory_control_service;office=logistics,service=inventory_management  
packing_services;office=logistics,service=packing  
vehicle_shipping;office=logistics,service=vehicle_transport  
mooring_service;office=marine,service=mooring  
merchandising_service;office=marketing  
broadcasting_media_production;office=media
movers;office=moving_company  
record_label;office=music,music=record_label  
media_news_company;office=news  
media_news_website;office=news,service=online  
non_governmental_association;office=ngo
disability_services_and_support_organization;office=ngo,ngo=disability_support  
environmental_conservation_and_ecological_organizations;office=ngo,ngo=environmental  
medical_service_organizations;office=ngo,ngo=health  
social_service_organizations;office=ngo,ngo=social_services  
volunteer_association;office=ngo,ngo=volunteer  
snuggle_service;office=personal_services,service=companionship  
dog_walkers;office=pet,service=dog_walking  
political_party_office;office=political_party  
property_management;office=property_management
print_media;office=publisher  
genealogists;office=research,research_field=genealogy  
security_services;office=security  
metal_detector_services;office=security,security=metal_detection  
private_investigation;office=security,security=private_investigator  
software_development;office=software
music_production;office=studio,studio=music  
video_film_production;office=studio,studio=video  
land_surveying;office=surveyor  
home_inspector;office=surveyor,surveyor=building  
tax_services;office=tax_advisor
telecommunications_company;office=telecommunication
internet_service_provider;office=telecommunication,service=internet  
television_service_providers;office=telecommunication,service=tv  
telemarketing_services;office=telecommunication,telecommunication=call_center  
aromatherapy;office=therapist
translating_and_interpreting_services;office=translation  
public_transportation;
transportation;office=transportation  
private_jet_charters;office=transportation,transport=air_charter  
ferry_boat_company;office=transportation,transport=ferry  
pet_transportation;office=transportation,transport=pet  
ride_sharing;office=transportation,transport=ride_sharing  
emergency_roadside_service;office=transportation,transport=roadside_assistance  
travel;office=travel_agent  
passport_and_visa_services;office=travel_agent,service=visa  
visa_agent;office=travel_agent,service=visa  
sightseeing_tour_agency;office=travel_agent,travel_agent=tour  
scooter_tours;office=travel_agent,travel_agent=tour,specialty=scooter  
wine_tours;office=travel_agent,travel_agent=tour,specialty=wine  
vacation_rental_agents;office=travel_agent,travel_agent=vacation_rental  
labor_union;office=union  
utility_service;office=utility  
water_supplier;office=utility,utility=water  
water_purification_services;office=utility,utility=water_treatment  
water_treatment_equipment_and_services;office=utility,utility=water_treatment  
garbage_collection_service;office=waste_management  
junk_removal_and_hauling;office=waste_management,service=junk_removal  
business_to_business;office=yes
island;place=island
plaza;place=square
structure_and_geography;place=yes
power_plants_and_power_plant_service;power=plant
transport_interchange;public_transport=yes  
train_station;railway=station,public_transport=station
metro_station;railway=station,station=subway  
bike_repair_maintenance;service:bicycle:repair=yes
3d_printing_service;shop=3d_printing
farm_equipment_and_supply;shop=agrarian  
lime_professionals;shop=agrarian,product=lime  
aircraft_dealer;shop=aircraft
beer_wine_and_spirits;shop=alcohol
antique_store;shop=antiques
appliance_store;shop=appliance
art_supply_store;shop=art
auction_house;shop=auction_house
car_auction;shop=auction_house,auction=car  
baby_gear_and_furniture;shop=baby_goods  
bags_luggage_company;shop=bag  
bakery;shop=bakery
chimney_cake_shop;shop=bakery,product=chimney_cake  
pretzels;shop=bakery,product=pretzels  
beauty_salon;shop=beauty
hair_extensions;shop=beauty,beauty=hair_extensions  
hair_removal;shop=beauty,beauty=hair_removal  
laser_hair_removal;shop=beauty,beauty=laser_hair_removal  
makeup_artist;shop=beauty,beauty=makeup  
nail_salon;shop=beauty,beauty=nails  
permanent_makeup;shop=beauty,beauty=permanent_makeup  
skin_care;shop=beauty,beauty=skincare  
sugaring;shop=beauty,beauty=sugaring  
hair_supply_stores;shop=beauty,beauty=supplies  
spray_tanning;shop=beauty,beauty=tan  
tanning_salon;shop=beauty,beauty=tanning  
